episode_id,member,unit_id,q,median_kg,low_kg,high_kg
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.0,0.7430330683833619,0.6437338469707552,0.9152741493401937
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.05,0.8233201369517176,0.8222810313177092,0.823560026171052
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.1,1.1057604834089998,1.0210074979231896,1.165101369986553
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.15,1.3129526778532743,1.1218038517953213,1.5791768859683417
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.2,1.5900334268298817,1.5897164747525228,1.5905449004762864
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.25,1.623540854678687,1.6174243010603186,1.6729561694376092
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.3,1.8477813420369087,1.8472586818465977,2.0153327751981496
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.35,2.02990573453539,2.0284446476062317,2.0317589719759486
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.4,2.2226001680764647,1.9347822013733231,2.7129194384789654
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.45,2.714497362644485,2.7134669576557373,2.9130224714596427
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.5,3.0925776877075304,2.872676957910481,3.2802642784263316
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.55,3.262434170388232,3.2604516662180836,3.2633931057909087
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.6,3.3585017235610986,2.9546643811526687,3.6021042539979904
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.65,3.7165457055377606,3.7162076233219112,3.7171702875725567
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.7,3.830074210799804,3.423261247712168,4.124939700164224
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.75,4.213606111593426,4.210378172201655,4.217863213024622
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.8,4.597090780312775,4.596443203715504,4.59783219958393
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.85,4.610517118899568,4.609546996952986,4.611170288768793
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.9,4.843522884883423,4.841417328730301,4.844903180106589
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,0.95,4.920913881529243,4.919532343356754,4.9235874655229654
2232d7508482bc39ec868e3b,4-10-24_train-ready_all_carts.csv,4-10-24_Cart10,1.0,5.1755395080369535,4.981014210143134,5.381940875974483
4475f8a697e3ef659ea25f62,4-10-24_train-ready_all_carts.csv,4-10-24_Cart11,0.0,1.4540279633733673,1.3900807458627544,1.5448784690976793
