corridor_id,corridor_name,branch,segment_order,from_id,to_id,evidence_state,qualitative_role
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,1,1,TEND_AWASH,DUBTI,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,1,2,DUBTI,LOGIA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,1,3,LOGIA,SEMERA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,1,4,SEMERA,AWASH_ARBA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,1,5,AWASH_ARBA,METEHARA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,1,6,METEHARA,ADAMA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,1,7,ADAMA,MODJO,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,1,8,MODJO,DUKEM,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,1,9,DUKEM,BISHOFTU,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,1,10,BISHOFTU,ADDIS,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,2,1,YARDI_SOURCE_UNVERIFIED,AWASH_ARBA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,2,2,AWASH_ARBA,METEHARA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,2,3,METEHARA,ADAMA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,2,4,ADAMA,ADDIS,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,3,1,MELKA_WAKENA_RES,ADAMA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,3,2,ADAMA,ADDIS,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,4,1,TEND_AWASH,ASAYITA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,4,2,ASAYITA,DUBTI,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,5,1,AWASH_ARBA,DIRE_DAWA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,5,2,DIRE_DAWA,HARAR,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,6,1,HAROMAYA_ADELLE_LAKE,HARAR,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,7,1,ARERTI,ADAMA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,7,2,ADAMA,ADDIS,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,8,1,OLENCHITI,ADAMA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,9,1,MELKA_WAKENA_RES,GOBA_BALE,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,9,2,GOBA_BALE,ROBE_BALE,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,10,1,MELKA_WAKENA_RES,ASASA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,10,2,ASASA,DODOLA,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,10,3,DODOLA,KOFELE,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,10,4,KOFELE,SHASHEMENE,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,11,1,MELKA_WAKENA_RES,BEKOJI,candidate connectivity; not measured flow,candidate connectivity
C_EASTERN_AWASH,Eastern/Awash/Melka-Wakena-Adama-Addis,11,2,BEKOJI,ASELA,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,1,CHAMO_LAKE,ARBAMINCH,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,2,ARBAMINCH,LANTE,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,3,LANTE,WOLAITA_SODO,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,4,WOLAITA_SODO,HAWASSA_CITY,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,5,HAWASSA_CITY,SHASHEMENE,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,6,SHASHEMENE,ARSI_NEGELE,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,7,ARSI_NEGELE,DOLE_UNVERIFIED,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,8,DOLE_UNVERIFIED,BATU_ZIWAY,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,9,BATU_ZIWAY,MEKI,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,10,MEKI,BOTE_ALEM_TENA,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,11,BOTE_ALEM_TENA,KOKA_TOWN,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,12,KOKA_TOWN,MODJO,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,13,MODJO,DUKEM,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,14,DUKEM,BISHOFTU,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,1,15,BISHOFTU,ADDIS,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,2,1,ABAYA_LAKE_CHILD,ARBAMINCH,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,2,2,ARBAMINCH,HAWASSA_CITY,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,2,3,HAWASSA_CITY,ADDIS,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,3,1,HAWASSA_LAKE,HAWASSA_CITY,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,3,2,HAWASSA_CITY,SHASHEMENE,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,3,3,SHASHEMENE,ADDIS,candidate connectivity; not measured flow,candidate connectivity
C_RIFT_ADDIS,Rift Valley-south-to-Addis,4,1,ZIWAY_LAKE,BATU_ZIWAY,expert-supported main local market; share not isolated,published source and local consumption access
C_RIFT_ADDIS,Rift Valley-south-to-Addis,4,2,BATU_ZIWAY,MEKI,expert-elicited main consumption corridor; share unmeasured,candidate local market route
C_RIFT_ADDIS,Rift Valley-south-to-Addis,4,3,MEKI,BOTE_ALEM_TENA,published Addis destination path; intermediate segment tonnage unmeasured,market corridor
